Time,Close,,,,,
Feb 21,476.97,501.22,509.27,471.83,-,-2.72%
Jan 21,490.33,508.42,519.49,475.81,-,-1.60%
Dec 20,498.3,460.42,507.19,460.27,-,8.85%
Nov 20,457.79,486.89,512.79,452.4,-,-5.46%
Oct 20,484.22,486.47,505.32,475.81,-,-0.48%
Sep 20,486.56,528.81,534.22,470.24,-,-7.68%
Aug 20,527.01,510.48,551.15,484.64,-,3.58%
Jul 20,508.79,450.96,520.13,441.56,-,12.73%
Jun 20,451.36,442.73,451.92,420.38,-,2.18%
May 20,441.73,416.01,446,411.34,-,6.32%
Apr 20,415.48,391.86,441.86,388.7,-,5.90%
Mar 20,392.34,406.06,428.12,353.45,-,-1.37%
Feb 20,397.77,408.8,434.98,397.57,-,-2.86%
Jan 20,409.49,396.75,415.3,396.17,-,3.22%
Dec 19,396.73,380.09,399.08,377.55,-,3.88%
Nov 19,381.92,396.85,398.33,375.97,-,-3.80%
Oct 19,397.01,383.18,399.53,380.96,-,3.79%
Sep 19,382.51,401.9,413.12,382.35,-,-4.40%
Aug 19,400.11,367.41,408.22,364.62,-,7.60%
Jul 19,371.87,359.45,376.38,356.54,-,2.35%
Jun 19,363.33,340.04,370.24,339.22,-,7.33%
May 19,338.52,335.36,338.81,329.86,-,0.72%
Apr 19,336.11,338.86,343.38,331.41,-,-0.88%
Mar 19,339.09,345.69,347.61,336.07,-,-2.00%
Feb 19,346.01,348.99,355.94,343.04,-,-1.14%
Jan 19,349.99,339.31,351.66,336.74,-,3.23%
Dec 18,339.03,321.99,340.22,321.92,-,5.75%
Nov 18,320.58,320.84,327.67,314.58,-,0.23%
Oct 18,319.84,316.4,328.57,313.65,-,0.77%
Sep 18,317.39,318.29,320,312.8,-,-0.28%
Aug 18,318.27,328.18,328.42,311.62,-,-3.13%
Jul 18,328.55,336.95,340.64,324.03,-,-2.69%
Jun 18,337.65,348.81,355.17,335.28,-,-3.29%
May 18,349.12,350.94,356.37,344.38,-,-0.98%
Apr 18,352.56,355.52,365.1,350.03,-,-0.23%
Mar 18,353.37,352.34,363.16,348.81,-,0.15%
Feb 18,352.83,362.95,365.08,350.14,-,-2.56%
Jan 18,362.09,354.26,369.93,354.08,-,1.93%
Dec 17,355.25,345.1,355.48,332.81,-,3.05%
Nov 17,344.74,345.76,354.87,343.4,-,-0.27%
Oct 17,345.66,346.45,357.37,342.06,-,-0.71%
Sep 17,348.13,360.84,372.09,347.4,-,-3.34%
Aug 17,360.15,346.77,362.65,340.19,-,4.01%
Jul 17,346.27,339.31,347.15,325.01,-,1.75%
Jun 17,340.3,350.11,357.71,337.67,-,-3.12%
May 17,351.26,348.18,351.26,332.42,-,0.50%
Apr 17,349.51,351.22,362.32,348.56,-,-0.56%
Mar 17,351.5,351.8,353.48,333.13,-,-0.62%
Feb 17,353.68,340.33,356.17,337.05,-,3.93%
Jan 17,340.31,322.09,341.77,319.03,-,6.27%
Dec 16,320.21,326.45,333.44,313.78,-,-2.17%
Nov 16,327.31,357.03,375.4,326.83,-,-7.99%
Oct 16,355.74,374.25,374.32,346.24,-,-4.51%
Sep 16,372.55,369.4,386.04,367.14,-,1.13%
Aug 16,368.4,389.28,393.18,367.19,-,-4.95%
Jul 16,387.58,376.05,394.2,374.12,-,4.29%
Jun 16,371.64,337.12,378.58,333.41,-,10.60%
May 16,336.04,363.24,365.97,334.7,-,-7.07%
Apr 16,361.61,336.47,364.27,328.44,-,7.26%
Mar 16,337.13,336.08,347.54,330.54,-,0.98%
Feb 16,333.86,307.6,345.76,306.9,-,8.98%
Jan 16,306.34,293.44,309.36,293.12,-,4.76%
Dec 15,292.43,296.25,302.27,289,-,-0.85%
Nov 15,294.94,318.38,318.88,291.33,-,-7.53%
Oct 15,318.96,307.86,332.52,304.74,-,3.59%
Sep 15,307.9,313.33,319.66,303.1,-,-1.25%
Aug 15,311.81,304.4,324.85,300.66,-,2.16%
Jul 15,305.23,326.81,327.47,299.64,-,-6.37%
