Time,Close,,,,,
Feb 21,79.628,80.7482,81.9996,77.2298,-,-0.36%
Jan 21,79.9146,75.5257,81.3585,73.7188,-,7.57%
Dec 20,74.2916,66.6487,74.4402,64.8995,-,11.86%
Nov 20,66.4144,62.8477,68.5066,62.6306,-,4.80%
Oct 20,63.3728,61.1344,66.1846,60.0386,-,4.20%
Sep 20,60.8199,56.8648,61.3865,56.7878,-,6.34%
Aug 20,57.1964,53.846,58.0707,51.5842,-,6.33%
Jul 20,53.7938,54.4034,56.4596,53.3631,-,-0.67%
Jun 20,54.1548,54.039,55.2074,51.6401,-,0.19%
May 20,54.0522,54.0066,54.5257,52.5936,-,-0.50%
Apr 20,54.3242,57.7125,57.7239,52.735,-,-5.97%
Mar 20,57.7732,58.4166,59.6532,53.7453,-,-0.55%
Feb 20,58.0931,59.5172,60.8137,57.4187,-,-2.67%
Jan 20,59.6838,62.2654,62.9133,59.5791,-,-4.14%
Dec 19,62.2602,59.7264,62.4464,58.6029,-,4.63%
Nov 19,59.5072,60.9167,61.3086,58.7327,-,-2.39%
Oct 19,60.964,60.1429,62.4049,59.698,-,1.40%
Sep 19,60.1242,57.0003,60.2266,55.7222,-,5.24%
Aug 19,57.129,60.7225,62.1769,56.5988,-,-5.81%
Jul 19,60.6555,64.4632,66.7852,60.603,-,-5.66%
Jun 19,64.2944,64.4684,68.1792,61.8117,-,0.29%
May 19,64.1088,57.2502,65.6164,54.0266,-,12.43%
Apr 19,57.0189,59.4907,61.0575,56.6721,-,-3.89%
Mar 19,59.3237,61.0395,61.9503,58.8305,-,-2.61%
Feb 19,60.9166,64.3883,65.0787,60.8466,-,-5.03%
Jan 19,64.1433,62.9736,65.0735,62.8564,-,1.87%
Dec 18,62.965,64.6498,65.6398,62.6731,-,-1.24%
Nov 18,63.757,62.4569,64.7219,61.9611,-,2.05%
Oct 18,62.4742,62.5998,65.7367,61.8006,-,-0.03%
Sep 18,62.4935,64.1693,64.4332,60.8363,-,-2.97%
Aug 18,64.4044,68.3327,69.7393,62.6492,-,-6.07%
Jul 18,68.5631,64.5954,68.9213,61.1929,-,6.46%
Jun 18,64.4035,73.15,73.3813,62.8105,-,-11.74%
May 18,72.9698,73.3596,75.9426,71.2349,-,-0.73%
Apr 18,73.5052,72.1133,74.1543,68.8441,-,3.01%
Mar 18,71.355,73.1964,74.9669,69.1396,-,-2.37%
Feb 18,73.0887,69.0559,73.4866,68.01,-,5.14%
Jan 18,69.5188,66.6398,69.9007,65.816,-,4.34%
Dec 17,66.6291,68.0626,69.2208,66.0353,-,-1.99%
Nov 17,67.9811,68.2616,69.5172,67.2019,-,-0.37%
Oct 17,68.2334,69.9038,70.3408,68.1195,-,-2.53%
Sep 17,70.0037,69.1238,70.7018,67.8058,-,1.27%
Aug 17,69.1232,75.4461,75.5852,67.4684,-,-8.52%
Jul 17,75.564,78.7434,82.762,74.6579,-,-2.31%
Jun 17,77.3496,72.909,77.5386,72.0468,-,6.18%
May 17,72.8507,74.2869,76.3692,72.121,-,-0.82%
Apr 17,73.4561,74.5136,75.4961,72.1508,-,-0.80%
Mar 17,74.0466,78.2899,79.9075,72.8754,-,-5.20%
Feb 17,78.1085,76.7358,81.5116,76.3528,-,1.61%
Jan 17,76.8681,75.3409,79.6471,75.0129,-,2.32%
Dec 16,75.124,75.7185,78.0783,73.7648,-,-0.66%
Nov 16,75.6228,77.3858,78.5016,74.0699,-,-2.48%
Oct 16,77.5471,74.091,78.5065,73.3931,-,4.70%
Sep 16,74.0647,71.3017,75.9725,71.2716,-,4.00%
Aug 16,71.2133,76.7704,78.0763,71.0715,-,-7.74%
Jul 16,77.1875,85.6565,85.7917,75.55,-,-9.94%
Jun 16,85.7044,88.0448,96.8314,84.3977,-,-2.93%
May 16,88.2879,86.8657,90.2554,83.078,-,1.76%
Apr 16,86.759,80.0683,89.7884,79.3096,-,8.57%
Mar 16,79.9124,78.1011,82.3098,77.3062,-,2.35%
Feb 16,78.0808,81.3841,82.3629,77.9375,-,-4.68%
Jan 16,81.9172,79.6489,82.1923,78.1359,-,2.64%
Dec 15,79.814,82.1842,84.1003,79.5299,-,-2.57%
Nov 15,81.917,85.8083,86.2854,80.6084,-,-4.55%
Oct 15,85.8205,86.2699,88.4855,83.6268,-,-0.76%
Sep 15,86.4818,83.551,86.9819,81.1458,-,2.86%
