Time,Close,,,,,
Feb 21,109.88,108.17,111.08,105.78,-,2.27%
Jan 21,107.44,103.82,109.92,101.72,-,4.81%
Dec 20,102.51,93.11,102.67,90.85,-,10.42%
Nov 20,92.84,87.23,95.13,86.88,-,5.76%
Oct 20,87.78,84.78,91.37,83.16,-,3.93%
Sep 20,84.46,81.37,85.32,81.01,-,3.44%
Aug 20,81.65,77.55,82.6,75.02,-,5.50%
Jul 20,77.39,75.74,77.87,74.74,-,2.54%
Jun 20,75.48,74.25,76.63,72.58,-,1.79%
May 20,74.15,74.49,75.29,73.08,-,-0.90%
Apr 20,74.83,79.18,79.2,72.65,-,-5.67%
Mar 20,79.33,82.52,84.16,74.96,-,-3.25%
Feb 20,81.99,83.19,85.35,80.96,-,-1.58%
Jan 20,83.31,88.03,88.52,83.24,-,-5.33%
Dec 19,88,83.44,88.48,82.74,-,5.74%
Nov 19,83.22,83.57,84.37,82.54,-,-0.44%
Oct 19,83.59,82.22,84.33,81.61,-,1.74%
Sep 19,82.16,78.68,82.32,77.47,-,4.18%
Aug 19,78.86,83.11,83.92,78.28,-,-5.06%
Jul 19,83.06,87.89,88.93,83,-,-5.12%
Jun 19,87.54,87.42,90.2,84.74,-,0.51%
May 19,87.1,81.17,88.33,76.39,-,7.57%
Apr 19,80.97,83.93,85.76,80.73,-,-3.34%
Mar 19,83.77,85.84,86.57,83.33,-,-2.22%
Feb 19,85.67,89.4,90.07,85.6,-,-3.90%
Jan 19,89.15,86.53,89.83,86.21,-,3.04%
Dec 18,86.52,89.78,90.34,86.28,-,-2.39%
Nov 18,88.64,88.2,90.83,86.52,-,0.43%
Oct 18,88.26,86.49,92.63,86.27,-,2.16%
Sep 18,86.39,88.12,88.85,84.29,-,-2.09%
Aug 18,88.23,93.53,94.69,86.56,-,-5.97%
Jul 18,93.83,91.57,94.21,87.09,-,2.69%
Jun 18,91.37,102.25,102.46,89.47,-,-10.47%
May 18,102.06,101.32,104.38,98.73,-,0.58%
Apr 18,101.47,100.88,102.25,96.98,-,1.44%
Mar 18,100.03,102.9,105.19,97.6,-,-2.81%
